Status,Name,URL,Founded,Latest Investment,Round (1 Year),Portfolio,Total Raised
Active,OKX Ventures,https://www.rootdata.com/Investors/detail/OKX%20Ventures?k=MTUy,2021,"Jul 18, 2024",74,206,$100 M
Active,Animoca Brands,https://www.rootdata.com/Projects/detail/Animoca%20Brands?k=MzgzOA%3D%3D,2014,"Jun 29, 2024",70,334,--
Active,HashKey Capital,https://www.rootdata.com/Investors/detail/HashKey%20Capital?k=MTg0,2018,"Jul 16, 2024",55,279,$500 M
Active,Big Brain Holdings,https://www.rootdata.com/Investors/detail/Big%20Brain%20Holdings?k=MjU2,2021,"Jun 27, 2024",53,202,--
Active,Cogitent Ventures,https://www.rootdata.com/Investors/detail/Cogitent%20Ventures?k=NDY4,2021,"Jul 04, 2024",52,112,--
Active,MH Ventures,https://www.rootdata.com/Investors/detail/MH%20Ventures?k=NDYx,2021,"Jul 04, 2024",48,101,--
Active,Foresight Ventures,https://www.rootdata.com/Investors/detail/Foresight%20Ventures?k=MTk1,2021,"Jul 02, 2024",48,109,$200 M
Active,The Spartan Group,https://www.rootdata.com/Investors/detail/The%20Spartan%20Group?k=MTI1,2018,"Jul 02, 2024",46,223,$310 M
Active,Robot Ventures,https://www.rootdata.com/Investors/detail/Robot%20Ventures?k=MzQ1,2019,"Jul 09, 2024",40,145,--
Active,GSR,https://www.rootdata.com/Projects/detail/GSR?k=NDA3OQ%3D%3D,2013,"Jul 16, 2024",39,188,--
Active,Polychain,https://www.rootdata.com/Investors/detail/Polychain?k=MTQ2,2016,"Jul 02, 2024",39,180,$1.13 B
Active,Waterdrip Capital,https://www.rootdata.com/Investors/detail/Waterdrip%20Capital?k=MTEz,2017,"Jul 01, 2024",39,111,--
Active,Cypher Capital Group,https://www.rootdata.com/Investors/detail/Cypher%20Capital%20Group?k=Mzc3,2022,"Jul 12, 2024",38,67,$100 M
Active,DWF Labs,https://www.rootdata.com/Projects/detail/DWF%20Labs?k=NDA3NQ%3D%3D,2022,"Jun 17, 2024",38,92,--
Active,Coinbase Ventures,https://www.rootdata.com/Investors/detail/Coinbase%20Ventures?k=MjE5,2018,"Jul 08, 2024",36,382,$15 M
Active,NxGen,https://www.rootdata.com/Investors/detail/NxGen?k=NDM1,2021,"Jun 10, 2024",36,70,--
Active,Binance Labs,https://www.rootdata.com/Investors/detail/Binance%20Labs?k=MjI5,2017,"Jun 24, 2024",35,197,$1.5 B
Active,Amber Group,https://www.rootdata.com/Projects/detail/Amber%20Group?k=NDA4Nw%3D%3D,2017,"Jul 04, 2024",33,73,--
Active,P2 Ventures,https://www.rootdata.com/Investors/detail/P2%20Ventures?k=NzAw,--,"Jul 09, 2024",32,121,--
Active,Hack VC,https://www.rootdata.com/Investors/detail/Hack%20VC?k=MTg2,2021,"Jul 09, 2024",31,92,$350 M
Active,Mask Network,https://www.rootdata.com/Projects/detail/Mask%20Network?k=Mjk0,2018,"Jul 18, 2024",30,96,--
