Exchange,Rank,Name
Binance,1,Bitcoin BTC
Binance,2,Ethereum ETH
Binance,3,Binance BNB
Binance,4,Solana SOL
Binance,5,Ripple XRP
Binance,6,Dogecoin DOGE
Binance,7,The Open Network TON
Binance,8,Cardano ADA
Binance,9,Tron TRX
Binance,10,Avalanche AVAX
Binance,11,Shiba Inu SHIB
Binance,12,Polkadot DOT
Binance,13,Bitcoin Cash BCH
Binance,14,Chainlink LINK
Binance,15,NEAR Protocol NEAR
Binance,16,Litecoin LTC
Binance,17,Polygon MATIC
Binance,18,Kaspa KAS
Binance,19,Uniswap UNI
Binance,20,PEPE PEPE
Binance,21,Internet Computer / Dfinity ICP
Binance,22,Ethereum Classic ETC
Binance,23,Monero XMR
Binance,24,Stellar XLM
Binance,25,Aptos APT
Binance,26,Fetch.ai FET
Binance,27,Stacks STX
Binance,28,MakerDAO MKR
Binance,31,Filecoin FIL
Binance,33,Hedera HBAR
Binance,34,Cosmos ATOM
Binance,35,Arbitrum / Offchain Labs ARB
Binance,36,Render RENDER
Binance,37,Vechain VET
Binance,38,Immutable X IMX
Binance,39,Bittensor TAO
Binance,40,Injective INJ
Binance,41,Optimism OP
Binance,42,Aave AAVE
Binance,43,Dogwifhat WIF
Binance,44,Sui SUI
Binance,46,Arweave AR
Binance,47,The Graph GRT
Binance,48,Bonk BONK
Binance,50,FLOKI FLOKI
Binance,52,Lido LDO
Binance,52,Jasmy JASMY
Binance,53,Theta Network THETA
Binance,54,THORChain RUNE
Binance,55,Jupiter JUP
Binance,56,Notcoin NOT
Binance,58,Celestia TIA
Binance,59,Ondo Finance ONDO
Binance,60,Fantom FTM
Binance,61,Pyth Network PYTH
Binance,63,Algorand ALGO
Binance,64,MANTRA OM
Binance,65,Sei Network SEI
Binance,66,Flow FLOW
Binance,67,Bitcoin SV BSV
Binance,69,Quant QNT
Binance,71,BitTorrent BTT
Binance,72,MultiversX EGLD
Binance,73,Axie Infinity AXS
Binance,73,EOS EOS
Binance,76,Merit Circle BEAM
Binance,79,Ethereum Name Service ENS
Binance,81,Neo NEO
Binance,82,eCash XEC
Binance,82,Tezos XTZ
Binance,83,StarkNet STRK
Binance,84,dYdX DYDX
Binance,86,Gala GALA
Binance,87,The Sandbox SAND
Binance,89,Ethena ENA
Binance,90,ORDI ORDI
Binance,91,Nexo NEXO
Binance,92,Ronin RON
Binance,93,Conflux CFX
Binance,95,Worldcoin WLD
Binance,96,BOOK OF MEME BOME
Binance,97,Zcash ZEC
Binance,98,Decentraland MANA
Binance,99,Chiliz CHZ
Binance,100,SATS 1000SATS
Binance,101,Mina MINA
Binance,102,Klaytn KLAY
Binance,103,Synthetix SNX
Binance,104,Raydium RAY
Binance,104,Gnosis GNO
Binance,105,Gnosis Chain GNO
Binance,106,Oasis Network ROSE
Binance,109,IOTA MIOTA
Binance,110,Pendle PENDLE
Binance,111,Otherside APE
Binance,112,zkSync ZK
Binance,113,FTX FTT
Binance,114,Astar ASTR
Binance,117,Nervos Network CKB
Binance,118,Compound COMP
Binance,119,LayerZero ZRO
Binance,119,PancakeSwap CAKE
Binance,121,Livepeer LPT
Binance,123,Bored Ape Yacht Club APE
Binance,124,Wormhole W
Binance,125,Axelar AXL
Binance,126,Terra Classic LUNC
Binance,128,1inch 1INCH
Binance,129,Trust Wallet TWT
Binance,130,Kava KAVA
Binance,133,IoTeX IOTX
Binance,134,SafePal SFP
Binance,136,Aevo AEVO
Binance,137,Curve CRV
Binance,140,Constitution DAO PEOPLE
Binance,141,Jito JTO
Binance,142,aelf ELF
Binance,143,Golem GLM
Binance,144,Manta Network MANTA
Binance,145,Galxe G
Binance,146,WOO Network WOO
Binance,147,Dash DASH
Binance,148,STEPN GMT
Binance,149,Kusama KSM
Binance,151,Convex Finance CVX
Binance,152,Terra LUNA
Binance,153,Zilliqa ZIL
Binance,154,Blur BLUR
Binance,155,Memeland MEME
Binance,156,Osmosis OSMO
Binance,157,Rocket Pool RPL
Binance,158,0x ZRX
Binance,159,SuperVerse SUPER
Binance,160,Celo CELO
Binance,162,Enjin ENJ
Binance,164,Siacoin SC
Binance,165,JustLend JST
Binance,165,Ankr ANKR
Binance,167,SKALE SKL
Binance,169,Brave BAT
Binance,170,Dymension DYM
Binance,170,Holochain HOT
Binance,172,Nexus Mutual WNXM
Binance,173,Qtum QTUM
Binance,174,Polymesh POLYX
Binance,177,Illuvium ILV
Binance,177,NEM XEM
Binance,178,GMX GMX
Binance,179,Metis METIS
Binance,179,Ravencoin RVN
Binance,180,ssv.network SSV
Binance,182,EthereumPoW ETHW
Binance,183,Arkham ARKM
Binance,185,Reserve protocol RSR
Binance,190,Threshold T
Binance,192,Biconomy BICO
Binance,194,Mask Network MASK
Binance,197,Frax FXS
Binance,198,Ether.Fi ETHFI
Binance,198,Flux FLUX
Binance,200,Decred DCR
Binance,201,io.net IO
Binance,206,Yearn Finance YFI
Binance,209,UMA UMA
Binance,211,Band Protocol BAND
Binance,212,Tellor TRB
Binance,213,Harmony ONE
Binance,214,Open Campus EDU
Binance,215,SPACE ID ID
Binance,217,Loopring LRC
Binance,219,Chromia CHR
Binance,220,ZetaChain ZETA
Binance,221,SushiSwap SUSHI
Binance,222,Banana Gun BANANA
Binance,224,Moonbeam GLMR
Binance,226,Ontology ONT
Binance,227,Alchemy Pay ACH
Binance,229,Flexa AMP
Binance,233,Audius AUDIO
Binance,234,BounceBit BB
