Rank,Name,Price,Market Cap,FDV,Link
26,Fetch.ai FET,$0.9906,$2.49 B,$2.6 B,https://www.rootdata.com/Projects/detail/Fetch.ai?k=MTUw
36,Render RENDER,$4.91,$1.92 B,$2.61 B,https://www.rootdata.com/Projects/detail/Render?k=ODY%3D
40,Bittensor TAO,$246.71,$1.76 B,$5.18 B,https://www.rootdata.com/Projects/detail/Bittensor?k=NjUyOA%3D%3D
156,Aethir ATH,$0.064,$262.61 M,$2.66 B,https://www.rootdata.com/Projects/detail/Aethir?k=ODcyNw%3D%3D
204,io.net IO,$1.78,$168.92 M,$1.45 B,https://www.rootdata.com/Projects/detail/io.net?k=MTAzNTY%3D
236,Nosana CI NOS,$1.68,$140.51 M,$216.77 M,https://www.rootdata.com/Projects/detail/Nosana%20CI?k=MTAyMTM%3D
260,Metars Genesis MRS,$1.39,$117.27 M,$1.39 B,https://www.rootdata.com/Projects/detail/Metars%20Genesis?k=MTE3NjI%3D
288,iExec RLC,$1.41,$102.36 M,$123.04 M,https://www.rootdata.com/Projects/detail/iExec?k=MTQzOQ%3D%3D
291,Oraichain ORAI,$6.22,$101.34 M,$112.93 M,https://www.rootdata.com/Projects/detail/Oraichain?k=NjA4
299,NetMind.AI NMT,$2.59,$98.67 M,$386.4 M,https://www.rootdata.com/Projects/detail/NetMind.AI?k=MTEzNDM%3D
322,Numerai NMR,$11.84,$86.7 M,$130.34 M,https://www.rootdata.com/Projects/detail/Numerai?k=NjM%3D
338,Node AI GPU,$0.8321,$80.81 M,$85.29 M,https://www.rootdata.com/Projects/detail/Node%20AI?k=MTE0Nzg%3D
347,Phala Network PHA,$0.1062,$78.8 M,$105.39 M,https://www.rootdata.com/Projects/detail/Phala%20Network?k=Mjk4
383,ChainGPT CGPT,$0.1288,$66.32 M,$130.85 M,https://www.rootdata.com/Projects/detail/ChainGPT?k=OTkzMQ%3D%3D
384,Solidus Ai Tech AITECH,$0.093,$66.18 M,$183.77 M,https://www.rootdata.com/Projects/detail/Solidus%20Ai%20Tech?k=MTE3NjU%3D
394,Phoenix PHB,$1.21,$61.95 M,$78.02 M,https://www.rootdata.com/Projects/detail/Phoenix?k=MTEwNzU%3D
400,Spectral SPEC,$5.78,$60.85 M,$586.59 M,https://www.rootdata.com/Projects/detail/Spectral?k=MjMxNw%3D%3D
