Rank,Name,Price,Market Cap,FDV,Link
55,Notcoin NOT,$0.011,$1.15 B,$1.15 B,https://www.rootdata.com/Projects/detail/Notcoin?k=MTE3MzE%3D
75,Axie Infinity AXS,$4.99,$741.61 M,$1.34 B,https://www.rootdata.com/Projects/detail/Axie%20Infinity?k=MzMy
86,Gala GALA,$0.018,$624.7 M,$662.7 M,https://www.rootdata.com/Projects/detail/Gala?k=Mzgw
139,Echelon PRIME,$6.7,$297.83 M,$769.51 M,https://www.rootdata.com/Projects/detail/Echelon?k=OTY0NA%3D%3D
177,Illuvium ILV,$49.03,$220.18 M,$407.75 M,https://www.rootdata.com/Projects/detail/Illuvium?k=Njc3
214,Rollbit RLB,$0.06,$160.87 M,$160.87 M,https://www.rootdata.com/Projects/detail/Rollbit?k=MTAzOTQ%3D
241,Yield Guild Games YGG,$0.3601,$134.3 M,$360.15 M,https://www.rootdata.com/Projects/detail/Yield%20Guild%20Games?k=NjUy
268,Pixels PIXEL,$0.1432,$110.41 M,$716 M,https://www.rootdata.com/Projects/detail/Pixels?k=NTg0MQ%3D%3D
281,Delysium AGI,$0.1347,$103.99 M,$404.32 M,https://www.rootdata.com/Projects/detail/Delysium?k=MTU3MA%3D%3D
306,Zentry ZENT,$0.016,$96.41 M,$167.66 M,https://www.rootdata.com/Projects/detail/Zentry?k=MTA3Ng%3D%3D
315,Fusionist ACE,$2.65,$89.58 M,$390.53 M,https://www.rootdata.com/Projects/detail/Fusionist?k=NjE1Nw%3D%3D
325,My Neighbor Alice ALICE,$0.9331,$85.91 M,$91.99 M,https://www.rootdata.com/Projects/detail/My%20Neighbor%20Alice?k=MTUwMA%3D%3D
330,Mines of Dalarnia DAR,$0.1361,$83.06 M,$110.54 M,https://www.rootdata.com/Projects/detail/Mines%20of%20Dalarnia?k=NDEz
342,Wilder World WILD,$0.2887,$79.96 M,$148.37 M,https://www.rootdata.com/Projects/detail/Wilder%20World?k=Njgx
344,Big Time BIGTIME,$0.078,$79.53 M,$391.02 M,https://www.rootdata.com/Projects/detail/Big%20Time?k=MTY0OQ%3D%3D
346,Sleepless AI AI,$0.3841,$79.35 M,$384.19 M,https://www.rootdata.com/Projects/detail/Sleepless%20AI?k=NzY1NA%3D%3D
366,Gods Unchained GODS,$0.2324,$71.96 M,$118.12 M,https://www.rootdata.com/Projects/detail/Gods%20Unchained?k=MTUwNA%3D%3D
376,Portal PORTAL,$0.2797,$67.78 M,$279.73 M,https://www.rootdata.com/Projects/detail/Portal?k=MTAxMDM%3D
391,Vulcan Forged PYR,$2.65,$63.29 M,$134.31 M,https://www.rootdata.com/Projects/detail/Vulcan%20Forged?k=Njc0
433,Nakamoto Games NAKA,$0.8179,$53.13 M,$158.87 M,https://www.rootdata.com/Projects/detail/Nakamoto%20Games?k=MTEzMg%3D%3D
441,RACA RACA,$0.00013,$50.89 M,$69.15 M,https://www.rootdata.com/Projects/detail/RACA?k=NTQyMA%3D%3D
460,Pirate Nation PIRATE,$0.2202,$47.81 M,$214.87 M,https://www.rootdata.com/Projects/detail/Pirate%20Nation?k=OTUzNg%3D%3D
460,Aavegotchi GHST,$0.927,$47.43 M,$49.83 M,https://www.rootdata.com/Projects/detail/Aavegotchi?k=NjY4
464,My Pet Hooligan KARRAT,$0.451,$48.27 M,$451 M,https://www.rootdata.com/Projects/detail/My%20Pet%20Hooligan?k=MTc2Mg%3D%3D
475,MOBOX MBOX,$0.1598,$44.44 M,$81.69 M,https://www.rootdata.com/Projects/detail/MOBOX?k=Njcy
