Rank,Name,Price,Market Cap,FDV,Link
192,Mask Network MASK,$1.95,$195.1 M,$195.1 M,https://www.rootdata.com/Projects/detail/Mask%20Network?k=Mjk0
334,Status SNT,$0.02,$81.75 M,$143.3 M,https://www.rootdata.com/Projects/detail/Status?k=MjAy
346,Sleepless AI AI,$0.3848,$79.5 M,$384.89 M,https://www.rootdata.com/Projects/detail/Sleepless%20AI?k=NzY1NA%3D%3D
350,RSS3 RSS3,$0.1161,$78.39 M,$123.43 M,https://www.rootdata.com/Projects/detail/RSS3?k=MTA0MA%3D%3D
355,Hooked Protocol HOOK,$0.4294,$76.46 M,$215.31 M,https://www.rootdata.com/Projects/detail/Hooked%20Protocol?k=MTg2MQ%3D%3D
368,DESO DESO,$8.02,$71.27 M,$86.7 M,https://www.rootdata.com/Projects/detail/DESO?k=MTAwOA%3D%3D
372,Cyber CYBER,$3.03,$70.44 M,$316.38 M,https://www.rootdata.com/Projects/detail/Cyber?k=MjA3Ng%3D%3D
446,DEGEN DEGEN,$0.004,$49.96 M,$141.98 M,https://www.rootdata.com/Projects/detail/DEGEN?k=MTE0NzQ%3D
540,Gifto GFT,$0.033,$33.82 M,$28.08 M,https://www.rootdata.com/Projects/detail/Gifto?k=MTkx
563,Rally RLY,$0.006,$30.48 M,$107.04 M,https://www.rootdata.com/Projects/detail/Rally?k=Mjk1
589,district0x DNT,$0.037,$28.02 M,$37.58 M,https://www.rootdata.com/Projects/detail/district0x?k=MTY3
631,ZTX ZTX,$0.0066,$22.83 M,$70.36 M,https://www.rootdata.com/Projects/detail/ZTX?k=ODk2OA%3D%3D
692,ZERO ZERO,$0.012,$18.82 M,$126.12 M,https://www.rootdata.com/Projects/detail/ZERO?k=MTE5MjY%3D
751,Unite TAKI,$0.012,$14.44 M,$38.07 M,https://www.rootdata.com/Projects/detail/Unite?k=NDczMQ%3D%3D
784,Dmail DMAIL,$0.2599,$12.87 M,$56.95 M,https://www.rootdata.com/Projects/detail/Dmail?k=MjM1MQ%3D%3D
835,Friend.tech FRIEND,$0.1136,$10.74 M,$11.21 M,https://www.rootdata.com/Projects/detail/Friend.tech?k=ODkzNw%3D%3D
837,Only1 LIKE,$0.031,$10.65 M,$16.5 M,https://www.rootdata.com/Projects/detail/Only1?k=MTAzOQ%3D%3D
913,Passage PASG,$0.0081,$7.7 M,$10.31 M,https://www.rootdata.com/Projects/detail/Passage?k=MTUyMQ%3D%3D
