Rank,Name,Price,Market Cap,FDV,Link
109,Safe Safe,$0.9425,$437.12 M,$942.56 M,https://www.rootdata.com/Projects/detail/Safe?k=MzE5
126,Trust Wallet TWT,$0.9107,$379.46 M,$910.45 M,https://www.rootdata.com/Projects/detail/Trust%20Wallet?k=NDQwOQ%3D%3D
134,SafePal SFP,$0.7692,$355.78 M,$384.63 M,https://www.rootdata.com/Projects/detail/SafePal?k=MzIw
285,Coin98 Finance C98,$0.1245,$103.54 M,$124.5 M,https://www.rootdata.com/Projects/detail/Coin98%20Finance?k=MjM5
334,Status SNT,$0.02,$81.75 M,$143.3 M,https://www.rootdata.com/Projects/detail/Status?k=MjAy
426,Frontier FRONT,$0.6304,$55.08 M,$57.11 M,https://www.rootdata.com/Projects/detail/Frontier?k=NDA2
475,Bitget Wallet BWB,$0.3504,$47.27 M,$350.4 M,https://www.rootdata.com/Projects/detail/Bitget%20Wallet?k=MTQ2Mg%3D%3D
539,MathWallet MATH,$0.1923,$33.89 M,$40.56 M,https://www.rootdata.com/Projects/detail/MathWallet?k=MTkyOA%3D%3D
680,TokenPocket TPT,$0.0056,$19.5 M,$19.77 M,https://www.rootdata.com/Projects/detail/TokenPocket?k=MzE4
789,Ambire Wallet WALLET,$0.02,$12.52 M,$13.41 M,https://www.rootdata.com/Projects/detail/Ambire%20Wallet?k=NDQzNA%3D%3D
822,Ctrl XDEFI,$0.084,$11.23 M,$21.58 M,https://www.rootdata.com/Projects/detail/Ctrl?k=NjU4
1020,Nash NEX,$0.116,$4.92 M,$5.86 M,https://www.rootdata.com/Projects/detail/Nash?k=MTk2
1051,Brillion DUA,$0.021,$4.37 M,$22.27 M,https://www.rootdata.com/Projects/detail/Brillion?k=MTAwMjY%3D
1109,TENT TENT,$0.09,$3.5 M,$7.61 M,https://www.rootdata.com/Projects/detail/TENT?k=MTUzOQ%3D%3D
1131,Bitcoin.com VERSE,$0.00016,$3.11 M,$32.9 M,https://www.rootdata.com/Projects/detail/Bitcoin.com?k=Mzg3OQ%3D%3D
1269,TokenSight TKST,$0.041,$1.82 M,$4.26 M,https://www.rootdata.com/Projects/detail/TokenSight?k=OTIwNg%3D%3D
1288,BeFi Labs BEFI,$0.033,$1.61 M,$7.13 M,https://www.rootdata.com/Projects/detail/BeFi%20Labs?k=MTEyNzI%3D
1379,Pillar PLR,$0.0039,$1.01 M,$3.65 M,https://www.rootdata.com/Projects/detail/Pillar?k=MTQ2Mw%3D%3D
1385,Nabox NABOX,$0.0000048,$1 M,$5.66 M,https://www.rootdata.com/Projects/detail/Nabox?k=MTA4NQ%3D%3D
1394,Cirus CIRUS,$0.0071,$959.43 K,$2.33 M,https://www.rootdata.com/Projects/detail/Cirus?k=MTA0Nzk%3D
1424,Bitune TUNE,$0.024,$811.9 K,$3.5 M,https://www.rootdata.com/Projects/detail/Bitune?k=ODc2
1427,SparkPoint SRK,$0.000072,$806.8 K,$953.27 K,https://www.rootdata.com/Projects/detail/SparkPoint?k=MTI2NDg%3D
1471,BlockWallet BLANK,$0.015,$623.76 K,$2.49 M,https://www.rootdata.com/Projects/detail/BlockWallet?k=NjU5
1474,Blocto BLT,$0.0026,$612.62 K,$1.82 M,https://www.rootdata.com/Projects/detail/Blocto?k=MTQ2MQ%3D%3D
1761,Vidulum VDL,$0.0042,$79.77 K,$35.67 K,https://www.rootdata.com/Projects/detail/Vidulum?k=MTA0NjQ%3D
1821,Minerva Wallet MIVA,$0.0023,$30.71 K,$2.38 M,https://www.rootdata.com/Projects/detail/Minerva%20Wallet?k=MTIwMDM%3D
--,Staika STIK,$2.02,--,$479.93 M,https://www.rootdata.com/Projects/detail/Staika?k=MTE0MTA%3D
--,ABBC ABBC,$0.0078,--,$53.75 M,https://www.rootdata.com/Projects/detail/ABBC?k=MTk3
--,Hippo Wallet HPO,$0.0052,--,$50.91 M,https://www.rootdata.com/Projects/detail/Hippo%20Wallet?k=OTE3NQ%3D%3D
--,Ordify ORFY,$0.1002,--,$10.02 M,https://www.rootdata.com/Projects/detail/Ordify?k=MTE3MTc%3D
--,Safle SAFLE,$0.0079,--,$8.8 M,https://www.rootdata.com/Projects/detail/Safle?k=MTkzMA%3D%3D
--,Galaxy Finance GFT,$0.012,--,$7.38 M,https://www.rootdata.com/Projects/detail/Galaxy%20Finance?k=ODI4MA%3D%3D
--,VaporWallet VPR,$0.0041,--,$4.18 M,https://www.rootdata.com/Projects/detail/VaporWallet?k=OTE1Ng%3D%3D
--,Degen Forest MOOLA,$0.0054,--,$3.28 M,https://www.rootdata.com/Projects/detail/Degen%20Forest?k=MTM1MDQ%3D
--,Legion Network LGX,$0.0019,--,$2.03 M,https://www.rootdata.com/Projects/detail/Legion%20Network?k=MTM2MQ%3D%3D
--,Mobius MOBI,$0.0011,--,$103.07 K,https://www.rootdata.com/Projects/detail/Mobius?k=MTk4
--,Azure Wallet AZURE,$0.00061,--,$76.93 K,https://www.rootdata.com/Projects/detail/Azure%20Wallet?k=MTE3NzI%3D
