Status,Name,Category,Location,Founded,Latest Investment,Round (1 Year),Portfolio,Total Raised
Active,OKX Ventures,Crypto Projects Venture,"Chinese Mainland, Singapore",2021,"Jul 18, 2024",74,206,$100 M
Active,Animoca Brands,- -,Hong Kong,2014,"Jun 29, 2024",70,334,--
Active,HashKey Capital,Crypto-Native Fund,"Hong Kong, Singapore",2018,"Jul 16, 2024",55,279,$500 M
Active,Big Brain Holdings,Crypto-Native Fund,--,2021,"Jun 27, 2024",53,202,--
Active,Cogitent Ventures,Crypto-Native Fund,--,2021,"Jul 04, 2024",52,112,--
Active,MH Ventures,Crypto-Native Fund,--,2021,"Jul 04, 2024",48,101,--
Active,Foresight Ventures,Crypto Projects Venture,"Chinese Mainland, Hong Kong, Singapore",2021,"Jul 02, 2024",48,109,$200 M
Active,The Spartan Group,Crypto-Native Fund,"Hong Kong, Singapore",2018,"Jul 02, 2024",46,223,$310 M
Active,Robot Ventures,Crypto-Native Fund,United States,2019,"Jul 09, 2024",40,145,--
Active,GSR,- -,Britain,2013,"Jul 16, 2024",39,188,--
Active,Polychain,Crypto-Native Fund,United States,2016,"Jul 02, 2024",39,180,$1.13 B
Active,Waterdrip Capital,Crypto-Native Fund,--,2017,"Jul 01, 2024",39,111,--
Active,Cypher Capital Group,Crypto-Native Fund,United Arab Emirates,2022,"Jul 12, 2024",38,67,$100 M
Active,DWF Labs,- -,- -,2022,"Jun 17, 2024",38,92,--
Active,Coinbase Ventures,Crypto Projects Venture,United States,2018,"Jul 08, 2024",36,382,$15 M
Active,NxGen,Crypto-Native Fund,Germany,2021,"Jun 10, 2024",36,70,--
Active,Binance Labs,Crypto Projects Venture,"Singapore, United Arab Emirates",2017,"Jun 24, 2024",35,197,$1.5 B
Active,Amber Group,- -,"Hong Kong, Singapore",2017,"Jul 04, 2024",33,73,--
Active,P2 Ventures,Crypto Projects Venture,"United States, United Arab Emirates",--,"Jul 09, 2024",32,121,--
Active,Hack VC,Crypto-Native Fund,United States,2021,"Jul 09, 2024",31,92,$350 M
Active,Mask Network,- -,"Hong Kong, Japan, United States, Singapore",2018,"Jul 18, 2024",30,96,--
Active,Morningstar Ventures,Crypto-Native Fund,--,2020,"Jun 20, 2024",30,137,--
Active,SevenX Ventures,Crypto-Native Fund,"Chinese Mainland, United States, Singapore",2020,"Jul 19, 2024",29,140,$30 M
Active,Andreessen Horowitz,Crypto-Native Fund,United States,2009,"May 30, 2024",29,152,$8.11 B
Active,Bankless Ventures,Crypto-Native Fund,United States,2023,"Jul 09, 2024",28,33,$35 M
Active,Borderless Capital,Crypto Projects Venture,--,2018,"Jul 02, 2024",28,83,$700 M
Active,Arrington Capital,Crypto-Native Fund,United States,2017,"Jul 02, 2024",28,128,$100 M
Active,Shima Capital,Crypto-Native Fund,United States,2021,"Jun 11, 2024",28,237,$200 M
Active,Momentum 6,Crypto-Native Fund,--,2020,"May 31, 2024",28,103,--
Active,CMS Holdings,Crypto-Native Fund,United States,2019,"Jul 18, 2024",27,160,--
Active,Delphi Digital,Crypto-Native Fund,United States,2018,"Jul 02, 2024",27,150,--
Active,NGC Ventures,Crypto-Native Fund,"Chinese Mainland, Singapore",2017,"Jul 19, 2024",26,292,$120 M
Active,Mechanism Capital,Crypto-Native Fund,--,2020,"Jul 16, 2024",26,121,$100 M
Active,GBV Capital,Crypto-Native Fund,--,2020,"Jul 10, 2024",26,193,--
Active,Comma3 Ventures,Crypto-Native Fund,"Taiwan, Singapore",2022,"Jul 09, 2024",26,49,$45 M
Active,Mirana Ventures,Crypto Projects Venture,"Chinese Mainland, United States, Singapore",2021,"Jul 04, 2024",26,110,--
Active,Blockchain Founders Fund,Crypto-Native Fund,Singapore,2018,"Jun 27, 2024",26,51,$75 M
Active,SNZ Holding,Crypto-Native Fund,Chinese Mainland,2019,"Jul 16, 2024",25,106,--
Active,dao5,Crypto-Native Fund,United States,2022,"Jul 02, 2024",25,44,$125 M
Active,Laser Digital,Traditional Enterprises,Japan,2022,"Jul 02, 2024",25,29,--
Active,Gate.io Labs,Crypto Projects Venture,Singapore,2021,"Jun 21, 2024",25,114,$100 M
Active,CSP DAO,Crypto-Native Fund,--,2020,"Jul 04, 2024",23,54,--
Active,Hashed,Crypto-Native Fund,Korea,2017,"Jun 06, 2024",23,147,$320 M
Active,Signum Capital,Crypto-Native Fund,Singapore,2017,"Jun 06, 2024",23,127,--
Active,Electric Capital,Crypto-Native Fund,United States,2013,"Jul 09, 2024",22,88,$1.11 B
Active,Nomad Capital,Crypto-Native Fund,--,2022,"Jul 02, 2024",22,23,--
Active,Alliance DAO,Crypto-Native Fund,Hong Kong,2020,"Jun 17, 2024",22,159,$50 M
Active,Framework Ventures,Crypto-Native Fund,--,2017,"Jul 16, 2024",21,102,$500 M
Active,IOSG Ventures,Crypto-Native Fund,"Chinese Mainland, Hong Kong",2017,"Jul 03, 2024",21,162,$80 M
Active,Pantera Capital,Crypto-Native Fund,United States,2013,"Jul 02, 2024",21,197,$1.06 B
Active,Manifold Trading,- -,- -,2021,"Jun 30, 2024",21,25,--
Active,LongHash Ventures,Crypto-Native Fund,Singapore,2018,"Jun 21, 2024",21,121,$115 M
Active,Kucoin Ventures,Crypto Projects Venture,"Chinese Mainland, Singapore",--,"Jul 16, 2024",20,63,--
Active,Presto Labs,- -,- -,2014,"Jul 16, 2024",20,21,--
Active,Inception Capital,Crypto-Native Fund,"Chinese Mainland, United States",2021,"Jul 09, 2024",20,50,$55 M
Active,Arca,- -,United States,2018,"Jun 27, 2024",20,37,--
Active,Sfermion,Crypto-Native Fund,--,2019,"May 17, 2024",20,97,$100 M
Active,Fenbushi Capital,Crypto-Native Fund,Chinese Mainland,2015,"Jul 19, 2024",19,184,$50 M
Active,Folius Ventures,Crypto-Native Fund,Hong Kong,2021,"Jul 18, 2024",19,84,$50 M
Active,Symbolic Capital,Crypto-Native Fund,United States,--,"Jul 16, 2024",19,35,$50 M
Active,Maven 11,Crypto-Native Fund,Netherlands,2015,"Jul 09, 2024",19,85,$120 M
Active,ABCDE Capital,Crypto-Native Fund,Singapore,2022,"Jul 02, 2024",19,30,$400 M
Active,1kx,Crypto-Native Fund,United States,2017,"Jul 02, 2024",19,111,$75 M
Active,Galaxy,- -,United States,2018,"Jul 19, 2024",18,113,--
Active,Lemniscap,Crypto-Native Fund,--,2017,"Jul 09, 2024",18,120,--
Active,Dragonfly,Crypto-Native Fund,"Chinese Mainland, United States",2018,"Jul 09, 2024",18,169,$975 M
Active,Founderheads,Crypto-Native Fund,Lithuania,2021,"Jul 05, 2024",18,30,--
Active,gumi Cryptos Capital,Crypto-Native Fund,"United States, Singapore, Taipei",2018,"Jul 02, 2024",18,69,$110 M
Active,UTXO Management,Crypto-Native Fund,--,2019,"Jun 27, 2024",18,26,--
Active,Wintermute,- -,Britain,2017,"Jun 26, 2024",18,75,--
Active,Skyland Ventures,Traditional Fund,Japan,2012,"Jun 13, 2024",18,32,$78 M
Active,Merit Circle,- -,- -,2021,"Jun 12, 2024",18,56,--
Active,Hyperithm,- -,Japan,2018,"Jul 19, 2024",17,26,--
Active,Fabric Ventures,Crypto-Native Fund,Britain,2017,"Jul 09, 2024",17,82,$270 M
Active,ArkStream Capital,Crypto-Native Fund,Chinese Mainland,2017,"Jul 04, 2024",17,87,--
Active,Selini Capital,- -,- -,2021,"Jul 02, 2024",17,18,--
Active,UOB Venture,Traditional Fund,--,1991,"Jun 20, 2024",17,40,--
Active,ConsenSys Mesh,Crypto Projects Venture,United States,2015,"Jun 18, 2024",17,88,$50 M
Active,Dewhales Capital,Crypto-Native Fund,--,2023,"Jun 06, 2024",17,55,--
Active,Portal Ventures,Crypto-Native Fund,--,2022,"Jul 18, 2024",16,26,$35 M
Active,Protocol Labs,- -,United States,2014,"Jul 04, 2024",16,85,--
Active,Zephyrus Capital,Crypto-Native Fund,--,--,"Jul 04, 2024",16,19,--
Active,Hypersphere Ventures,Crypto-Native Fund,United States,2019,"Jul 02, 2024",16,92,--
Active,Taisu Ventures,Crypto Projects Venture,Singapore,--,"Jul 01, 2024",16,29,--
Active,Moonrock Capital,Crypto-Native Fund,Britain,2019,"Jun 27, 2024",16,70,--
Active,CMT Digital,Crypto-Native Fund,United States,2013,"Jun 13, 2024",16,116,--
Active,Draper Dragon,Traditional Fund,--,2006,"Jun 07, 2024",16,51,--
Active,Sora Ventures,Crypto-Native Fund,--,2018,"May 22, 2024",16,39,$3 M
Active,Newman Capital,Traditional Fund,Hong Kong,2021,"Jul 18, 2024",15,31,$50 M
Active,Modular Capital,Crypto-Native Fund,United States,2022,"Jul 16, 2024",15,20,$20 M
Active,Rarestone Capital,Crypto-Native Fund,--,2019,"Jul 12, 2024",15,73,--
Active,Blizzard Fund,Crypto Projects Venture,--,2021,"Jul 09, 2024",15,52,$200 M
Active,HTX Ventures,Crypto Projects Venture,--,2018,"Jul 02, 2024",15,172,$100 M
Active,StarkWare,- -,Israel,2018,"Jul 02, 2024",15,36,--
Active,Chorus One,- -,- -,2018,"Jul 02, 2024",15,25,--
Active,Bitkraft Ventures,Traditional Fund,--,2017,"Jul 02, 2024",15,49,$295 M
Active,Orange DAO,- -,- -,2021,"Jul 01, 2024",15,61,--
Active,Mapleblock,Crypto-Native Fund,--,2017,"Jun 30, 2024",15,33,--
Active,Web3Port,- -,- -,--,"Jun 12, 2024",15,15,--
Active,Multicoin Capital,Crypto-Native Fund,United States,2017,"Jun 06, 2024",15,131,$605 M
Active,Bixin Ventures,Crypto-Native Fund,Chinese Mainland,2017,"May 28, 2024",15,98,--
Active,Bitcoin Frontier Fund,Crypto Projects Venture,United States,2021,"May 13, 2024",15,30,--
Active,Contango Digital Assets,Crypto-Native Fund,Canada,2021,"Apr 25, 2024",15,24,$5 M
Active,Anagram,Crypto-Native Fund,--,2021,"Jul 09, 2024",14,24,--
Active,Builder Capital,Crypto-Native Fund,--,2022,"Jul 04, 2024",14,34,--
Active,Wagmi Ventures,Crypto-Native Fund,United States,2022,"Jul 02, 2024",14,52,--
Active,Placeholder,Crypto-Native Fund,United States,2017,"Jul 01, 2024",14,63,--
Active,OIG Capital,Crypto-Native Fund,--,2021,"Jun 27, 2024",14,44,--
Active,Flow Traders,Traditional Enterprises,--,2004,"Jun 27, 2024",14,28,--
Active,6th Man Ventures,Crypto-Native Fund,United States,2021,"Jun 27, 2024",14,104,$145 M
Active,CMCC Global,Crypto-Native Fund,"Hong Kong, Germany, Canada",2016,"Jun 26, 2024",14,22,$100 M
Active,LiquidX,- -,Malaysia,2022,"Jun 12, 2024",14,16,--
Active,Bitscale Capital,Crypto-Native Fund,Russia,2018,"Jun 12, 2024",14,96,--
Active,No Limit Holdings,Crypto-Native Fund,--,2022,"May 23, 2024",14,29,$50 M
Active,NewTribe Capital,Crypto-Native Fund,United Arab Emirates,2019,"May 20, 2024",14,32,--
Active,PAKA,Crypto-Native Fund,--,2020,"Jul 19, 2024",13,37,--
Active,TRGC,Crypto-Native Fund,United States,2020,"Jul 09, 2024",13,52,--
Active,Side Door Ventures,Traditional Fund,--,--,"Jul 09, 2024",13,21,--
Active,Maelstrom Capital,Crypto-Native Fund,--,--,"Jul 09, 2024",13,20,--
Active,Samsung Next,Traditional Enterprises,United States,2013,"Jul 02, 2024",13,60,--
Active,Kraken Ventures,Crypto Projects Venture,United States,2021,"Jul 02, 2024",13,47,$65 M
Active,Paradigm,Crypto-Native Fund,United States,2018,"Jun 25, 2024",13,91,$3.35 B
Active,Archetype,Crypto-Native Fund,United States,2021,"Jun 24, 2024",13,47,$155.5 M
Active,Faction,Crypto-Native Fund,--,2022,"Jun 10, 2024",13,18,--
Active,Aptos,- -,United States,2021,"Jun 06, 2024",13,16,--
Active,AVID3,Crypto-Native Fund,--,--,"May 24, 2024",13,21,--
Active,32-Bit Ventures,Crypto-Native Fund,--,2021,"May 23, 2024",13,16,--
Active,Spicy Capital,Crypto-Native Fund,--,--,"May 19, 2024",13,17,--
Active,SatoshiLab,Crypto-Native Fund,--,2023,"May 09, 2024",13,13,--
Active,Nascent,Crypto-Native Fund,--,2020,"Apr 17, 2024",13,71,--
Active,Alchemy Ventures,Crypto Projects Venture,--,2021,"Jul 09, 2024",12,64,--
Active,Web3.com Ventures,Crypto-Native Fund,"Chinese Mainland, United States, Singapore",2021,"Jul 02, 2024",12,25,--
Active,Figment Capital,Crypto Projects Venture,--,2021,"Jul 01, 2024",12,49,--
Active,SkyVision Capital,Crypto-Native Fund,--,2021,"Jun 20, 2024",12,116,--
Active,Maven Capital,Crypto-Native Fund,--,2019,"Jun 12, 2024",12,83,--
Active,Volt Capital,Crypto-Native Fund,--,--,"May 31, 2024",12,38,$50 M
Active,Faculty Group,Crypto-Native Fund,--,--,"May 28, 2024",12,23,--
Active,Tribe Capital,Traditional Fund,United States,2018,"May 28, 2024",12,69,$75 M
Active,X Ventures,Crypto-Native Fund,Germany,--,"May 23, 2024",12,17,--
Active,Daedalus,Crypto-Native Fund,--,2021,"May 22, 2024",12,39,--
Active,WWVentures,Crypto-Native Fund,--,2021,"May 06, 2024",12,38,$15 M
Active,LBank Labs,Crypto Projects Venture,--,--,"May 02, 2024",12,15,--
Active,IDG Blockchain,Crypto-Native Fund,Vietnam,--,"Jul 19, 2024",11,14,$21 M
Active,Matrixport Ventures,Crypto Projects Venture,"Hong Kong, Singapore",2019,"Jul 17, 2024",11,35,--
Active,Digital Currency Group,- -,United States,2014,"Jul 15, 2024",11,179,--
Active,Circle Ventures,Crypto Projects Venture,United States,2021,"Jul 09, 2024",11,90,--
Active,Oak Grove Ventures,Crypto-Native Fund,Singapore,--,"Jul 04, 2024",11,17,--
Active,LD Capital,Crypto-Native Fund,"Chinese Mainland, Hong Kong",2016,"Jul 02, 2024",11,274,--
Active,Primitive Ventures,Crypto-Native Fund,--,2018,"Jul 02, 2024",11,27,--
Active,Dispersion Capital,Crypto-Native Fund,United States,--,"Jul 02, 2024",11,18,--
Active,Dispersion Capital,Crypto-Native Fund,United States,--,"Jul 02, 2024",11,18,--
Active,ParaFi Capital,Crypto-Native Fund,United States,2018,"Jun 27, 2024",11,106,$30 M
Active,Double Peak Group,Crypto-Native Fund,--,2017,"Jun 26, 2024",11,74,--
Active,Variant Fund,Crypto-Native Fund,United States,2019,"Jun 21, 2024",11,65,$560 M
Active,Castrum Capital,Crypto-Native Fund,--,--,"Jun 19, 2024",11,22,--
Active,Dutch Crypto Investors,Crypto-Native Fund,Netherlands,2017,"Jun 19, 2024",11,65,--
Active,Antalpha Ventures,Crypto-Native Fund,"Hong Kong, Singapore",--,"Jun 18, 2024",11,20,--
