Rank,Name,Price,Market Cap,FDV,Ecosystem,Exchange
1,Bitcoin BTC,"$60,716.68","$1,198.24 B","$1,275.05 B",,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Coinstore, Tokocrypto, Zaif, Bitvavo, Bitso, HashKeyExchange, Coinlist, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
2,Ethereum ETH,"$2,908.73",$349.79 B,$349.79 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, PancakeSwap, Osmosis, Jupiter, SushiSwap, OpenOcean, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Coinstore, Tokocrypto, Zaif, Bitvavo, Bitso, HashKeyExchange, Coinlist, Bullish, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
3,Binance BNB,$528.22,$77.08 B,$77.08 B,,"Binance, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitfinex, MEXC, Gate.io, BitMEX, Uniswap, OpenOcean, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Coinstore, Tokocrypto, Bitvavo, FameEX, BIGONE, Bilaxy, CoinEx, HitBTC, BTSE"
4,Solana SOL,$143.61,$66.92 B,$85.01 B,Solana,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitfinex, MEXC, Gate.io, XT.COM, Deepcoin, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Bitrue, Tokocrypto, Bitvavo, FameEX, CoinEx, BTSE"
5,Ripple XRP,$0.5549,$31.07 B,$55.49 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, PancakeSwap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Coinstore, Tokocrypto, Bitvavo, Bitso, Bullish, BIGONE, CoinEx, HitBTC, BTSE"
6,Dogecoin DOGE,$0.1077,$15.66 B,$15.66 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, PancakeSwap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Coinstore, Tokocrypto, Bitvavo, Bitso, Coinlist, Bullish, FameEX, BIGONE, CoinEx, HitBTC, BTSE"
7,The Open Network TON,$5.86,$14.76 B,$29.95 B,TON,"Binance, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, XT.COM, Deepcoin, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, HashKeyExchange, Bullish, BIGONE, CoinEx, HitBTC, BTSE"
8,Cardano ADA,$0.3527,$12.55 B,$16.1 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Gate.io, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Bitrue, Bitkub, Bitbank, Bitvavo, Bitso, CoinEx, BTSE"
9,Tron TRX,$0.1342,$11.69 B,$11.69 B,,"Binance, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitfinex, MEXC, Gate.io, BitMEX, Uniswap, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Coinstore, Tokocrypto, Zaif, Bitvavo, Bitso, Bullish, FameEX, BIGONE, CoinEx, HitBTC, BTSE"
10,Avalanche AVAX,$22.69,$8.96 B,$16.24 B,,"Binance, Coinbase, OKX, HTX, Bitget, Bybit, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, BitMEX, Uniswap, OpenOcean, XT.COM, Deepcoin, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, AscendEX, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Bitbank, Currency.com, Coinstore, Tokocrypto, Bitvavo, Bitso, HashKeyExchange, Coinlist, Bullish, FameEX, BIGONE, CoinEx, HitBTC, BTSE"
