Name,Tag,Ecology,Hyperlink
Jokers of Neon,Gaming,StarkNet,https://www.rootdata.com/Projects/detail/Jokers%20of%20Neon?k=MTM0NDU%3D
Virtual Finance,DeFi、Stablecoin Protocol,None,https://www.rootdata.com/Projects/detail/Virtual%20Finance?k=MTM0NDQ%3D
HappyChain,Infra、Layer2、Gaming Solutions,Ethereum,https://www.rootdata.com/Projects/detail/HappyChain?k=MTM0NDI%3D
Four.Meme,Meme、Launchpad,BNB Chain,https://www.rootdata.com/Projects/detail/Four.Meme?k=MTM0NDE%3D
Kulipa,Infra、Wallet、Payments,None,https://www.rootdata.com/Projects/detail/Kulipa?k=MTM0NDA%3D
MagnetAI,Infra、AI、Data Market,"Ethereum, Polygon, Avalanche",https://www.rootdata.com/Projects/detail/MagnetAI?k=MTM0Mzk%3D
Injera,DeFi、Derivatives、Synthetic Assets,Injective,https://www.rootdata.com/Projects/detail/Injera?k=MTM0Mzc%3D
SNPITSNPT,Lifestyle App,Polygon,https://www.rootdata.com/Projects/detail/SNPIT?k=MTM0MzY%3D
RWALayer,Infra、Layer2、RWA,None,https://www.rootdata.com/Projects/detail/RWALayer?k=MTM0MzU%3D
Runes Chain,Infra、Layer2,Bitcoin,https://www.rootdata.com/Projects/detail/Runes%20Chain?k=MTM0MzQ%3D
QuackQuack,Gaming,TON,https://www.rootdata.com/Projects/detail/QuackQuack?k=MTM0MzM%3D
TonGPU,Infra、Layer1、Cloud Computing、AI,TON,https://www.rootdata.com/Projects/detail/TonGPU?k=MTM0MzI%3D
AI Gram,Infra、AI、Layer3,Base,https://www.rootdata.com/Projects/detail/AI%20Gram?k=MTM0MzA%3D
GOAT Network,Infra、Layer2,Bitcoin,https://www.rootdata.com/Projects/detail/GOAT%20Network?k=MTM0Mjk%3D
Super Champs,Gaming,None,https://www.rootdata.com/Projects/detail/Super%20Champs?k=MTM0Mjg%3D
SalviumSAL,Infra、Layer1、PoW、Privacy,None,https://www.rootdata.com/Projects/detail/Salvium?k=MTM0Mjc%3D
BlinkFans,Tools、Data & Analysis,Solana,https://www.rootdata.com/Projects/detail/BlinkFans?k=MTM0MjY%3D
LastShop,E-commerce,None,https://www.rootdata.com/Projects/detail/LastShop?k=MTM0MjQ%3D
zkBTC,Infra、Cross-chain Bridge,None,https://www.rootdata.com/Projects/detail/zkBTC?k=MTM0MjA%3D
cuckoo,Gaming、Game Platforms,Arbitrum,https://www.rootdata.com/Projects/detail/cuckoo?k=MTM0MTc%3D
LAVA Protocol,DeFi、BRC-20,"Bitcoin, BNB Chain, Bitlayer",https://www.rootdata.com/Projects/detail/LAVA%20Protocol?k=MTM0MTI%3D
GenLayer,Infra、Layer1、AI,None,https://www.rootdata.com/Projects/detail/GenLayer?k=MTM0MTA%3D
XRAIS,Social、AI,None,https://www.rootdata.com/Projects/detail/XRAIS?k=MTM0MDY%3D
KRNL,Infra、Dev Platform,None,https://www.rootdata.com/Projects/detail/KRNL?k=MTM0MDA%3D
Kernel Protocol,DeFi、Restaking、LSD,Ethereum,https://www.rootdata.com/Projects/detail/Kernel%20Protocol?k=MTMzOTk%3D
XOOB,Gaming、Game Platforms,None,https://www.rootdata.com/Projects/detail/XOOB?k=MTMzOTg%3D
OP NET,Infra、Layer2、Ordinals,None,https://www.rootdata.com/Projects/detail/OP%20NET?k=MTMzOTc%3D
Nudge,DeFi,None,https://www.rootdata.com/Projects/detail/Nudge?k=MTMzOTY%3D
Moonshot,Meme、Launchpad,Solana,https://www.rootdata.com/Projects/detail/Moonshot?k=MTMzOTU%3D
Hamilton,DeFi、RWA,"Stacks, BOB, Core DAO",https://www.rootdata.com/Projects/detail/Hamilton?k=MTMzOTE%3D
PawX,Social、Gaming,Bitcoin,https://www.rootdata.com/Projects/detail/PawX?k=MTMzODI%3D
Listapie,DeFi、Yield optimizer,BNB Chain,https://www.rootdata.com/Projects/detail/Listapie?k=MTMzNzk%3D
Revived,Gaming,None,https://www.rootdata.com/Projects/detail/Revived?k=MTMzNzc%3D
