Ranking,University Name,Link
1,Stanford University,https://www.rootdata.com/people/Stanford%20University?k=MTIwMzc%3D&type=3
2,Harvard University,https://www.rootdata.com/people/Harvard%20University?k=MTIwMTc%3D&type=3
3,Berkeley University of California,https://www.rootdata.com/people/Berkeley%20University%20of%20California?k=MTEwMTI%3D&type=3
4,Massachusetts Institute of Technology,https://www.rootdata.com/people/Massachusetts%20Institute%20of%20Technology?k=MTIwMzY%3D&type=3
5,Columbia University,https://www.rootdata.com/people/Columbia%20University?k=MTIwMjU%3D&type=3
6,University of Pennsylvania,https://www.rootdata.com/people/University%20of%20Pennsylvania?k=MTIwNDc%3D&type=3
7,New York University,https://www.rootdata.com/people/New%20York%20University?k=MTIwMTU%3D&type=3
8,Cornell University,https://www.rootdata.com/people/Cornell%20University?k=MTIwMjc%3D&type=3
9,UCLA,https://www.rootdata.com/people/UCLA?k=MTIwNTg%3D&type=3
10,National University of Singapore,https://www.rootdata.com/people/National%20University%20of%20Singapore?k=MTIwNzA%3D&type=3
11,University of Oxford,https://www.rootdata.com/people/University%20of%20Oxford?k=MTE5Nzc%3D&type=3
12,University of Southern California,https://www.rootdata.com/people/University%20of%20Southern%20California?k=MTIwOTA%3D&type=3
13,Tsinghua University,https://www.rootdata.com/people/Tsinghua%20University?k=MTE5NzQ%3D&type=3
14,Yale University,https://www.rootdata.com/people/Yale%20University?k=MTIwMzM%3D&type=3
15,London School of Economics and Political Science,https://www.rootdata.com/people/London%20School%20of%20Economics%20and%20Political%20Science?k=MTIwNTI%3D&type=3
16,Carnegie Mellon University,https://www.rootdata.com/people/Carnegie%20Mellon%20University?k=MTIwMzA%3D&type=3
17,University of Waterloo,https://www.rootdata.com/people/University%20of%20Waterloo?k=MTIwMjM%3D&type=3
18,Peking University,https://www.rootdata.com/people/Peking%20University?k=MTE5OTE%3D&type=3
19,University of Michigan,https://www.rootdata.com/people/University%20of%20Michigan?k=MTE5Nzk%3D&type=3
20,University of Cambridge,https://www.rootdata.com/people/University%20of%20Cambridge?k=MTIwMTk%3D&type=3
21,Princeton University,https://www.rootdata.com/people/Princeton%20University?k=MTE0OTQ%3D&type=3
22,University of Illinois Urbana-Champaign,https://www.rootdata.com/people/University%20of%20Illinois%20Urbana-Champaign?k=MTIwNTY%3D&type=3
23,Northwestern University,https://www.rootdata.com/people/Northwestern%20University?k=MTIwODc%3D&type=3
24,University College London,https://www.rootdata.com/people/University%20College%20London?k=MTIwODY%3D&type=3
25,Nanyang Technological University,https://www.rootdata.com/people/Nanyang%20Technological%20University?k=MTIwNTE%3D&type=3
26,University of Chicago,https://www.rootdata.com/people/University%20of%20Chicago?k=MTIwMTY%3D&type=3
27,Duke University,https://www.rootdata.com/people/Duke%20University?k=MTIwMjk%3D&type=3
28,University of Toronto,https://www.rootdata.com/people/University%20of%20Toronto?k=MTIwMjQ%3D&type=3
29,Fudan University,https://www.rootdata.com/people/Fudan%20University?k=MTIwODQ%3D&type=3
30,University of Washington,https://www.rootdata.com/people/University%20of%20Washington?k=MTIwMzI%3D&type=3
31,The University of Hong Kong,https://www.rootdata.com/people/The%20University%20of%20Hong%20Kong?k=MTIwOTg%3D&type=3
32,Shanghai Jiaotong University,https://www.rootdata.com/people/Shanghai%20Jiaotong%20University?k=MTE5OTg%3D&type=3
33,Zhejiang University,https://www.rootdata.com/people/Zhejiang%20University?k=MTIwNTU%3D&type=3
34,Imperial College,https://www.rootdata.com/people/Imperial%20College?k=MTE5OTY%3D&type=3
35,Brown University,https://www.rootdata.com/people/Brown%20University?k=MTIwNjc%3D&type=3
36,McGill University,https://www.rootdata.com/people/McGill%20University?k=MTIxODc%3D&type=3
37,University of California San Diego,https://www.rootdata.com/people/University%20of%20California%20San%20Diego?k=MTIwMjg%3D&type=3
38,Boston University,https://www.rootdata.com/people/Boston%20University?k=MTIyMDE%3D&type=3
39,Georgia Institute of Technology,https://www.rootdata.com/people/Georgia%20Institute%20of%20Technology?k=MTIwNzY%3D&type=3
